Joey1	>TcMar-Tc1:Joey1
Ko.CR1.1	>CR1:Ko.CR1.1
Ko.CR1.2	>CR1:Ko.CR1.2
Ko.CR1.3	>CR1:Ko.CR1.3
Ko.CR1.4	>CR1:Ko.CR1.4
Ko.ERV.1	>ERV:Ko.ERV.1
Ko.ERV1.1	>ERV1:Ko.ERV1.1
Ko.ERV1.10	>ERV1:Ko.ERV1.10
Ko.ERV1.11	>ERV1:Ko.ERV1.11
Ko.ERV1.12	>ERV1:Ko.ERV1.12
Ko.ERV1.13	>ERV1:Ko.ERV1.13
Ko.ERV1.17	>ERV1:Ko.ERV1.17
Ko.ERV1.2	>ERV1:Ko.ERV1.2
Ko.ERV1.20	>ERV1:Ko.ERV1.20
Ko.ERV1.21	>ERV1:Ko.ERV1.21
Ko.ERV1.23	>ERV1:Ko.ERV1.23
Ko.ERV1.24	>ERV1:Ko.ERV1.24
Ko.ERV1.25	>ERV1:Ko.ERV1.25
Ko.ERV1.33	>ERV1:Ko.ERV1.33
Ko.ERV1.34	>ERV1:Ko.ERV1.34
Ko.ERV1.35	>ERV1:Ko.ERV1.35
Ko.ERV1.37	>ERV1:Ko.ERV1.37
Ko.ERV1.4	>ERV1:Ko.ERV1.4
Ko.ERV1.5	>ERV1:Ko.ERV1.5
Ko.ERV1.6	>ERV1:Ko.ERV1.6
Ko.ERV1.7	>ERV1:Ko.ERV1.7
Ko.ERV1.8	>ERV1:Ko.ERV1.8
Ko.ERV1.9	>ERV1:Ko.ERV1.9
Ko.ERVK.1	>ERVK:Ko.ERVK.1
Ko.ERVK.10	>ERVK:Ko.ERVK.10
Ko.ERVK.11	>ERVK:Ko.ERVK.11
Ko.ERVK.12	>ERVK:Ko.ERVK.12
Ko.ERVK.13	>ERVK:Ko.ERVK.13
Ko.ERVK.14	>ERVK:Ko.ERVK.14
Ko.ERVK.15	>ERVK:Ko.ERVK.15
Ko.ERVK.17	>ERVK:Ko.ERVK.17
Ko.ERVK.18	>ERVK:Ko.ERVK.18
Ko.ERVK.19	>ERVK:Ko.ERVK.19
Ko.ERVK.2	>ERVK:Ko.ERVK.2
Ko.ERVK.20	>ERVK:Ko.ERVK.20
Ko.ERVK.21	>ERVK:Ko.ERVK.21
Ko.ERVK.22	>ERVK:Ko.ERVK.22
Ko.ERVK.23	>ERVK:Ko.ERVK.23
Ko.ERVK.3	>ERVK:Ko.ERVK.3
Ko.ERVK.4	>ERVK:Ko.ERVK.4
Ko.ERVK.6	>ERVK:Ko.ERVK.6
Ko.ERVK.7	>ERVK:Ko.ERVK.7
Ko.ERVL.1	>ERVL:Ko.ERVL.1
Ko.ERVL.11	>ERVL:Ko.ERVL.11
Ko.ERVL.12	>ERVL:Ko.ERVL.12
Ko.ERVL.2	>ERVL:Ko.ERVL.2
Ko.ERVL.3	>ERVL:Ko.ERVL.3
Ko.ERVL.4	>ERVL:Ko.ERVL.4
Ko.ERVL.5	>ERVL:Ko.ERVL.5
Ko.ERVL.6	>ERVL:Ko.ERVL.6
Ko.ERVL.7	>ERVL:Ko.ERVL.7
Ko.ERVL.8	>ERVL:Ko.ERVL.8
Ko.ERVL.9	>ERVL:Ko.ERVL.9
Ko.L1.1	>L1:Ko.L1.1
Ko.L1.10	>L1:Ko.L1.10
Ko.L1.100	>L1:Ko.L1.100
Ko.L1.101	>L1:Ko.L1.101
Ko.L1.102	>L1:Ko.L1.102
Ko.L1.103	>L1:Ko.L1.103
Ko.L1.104	>L1:Ko.L1.104
Ko.L1.105	>L1:Ko.L1.105
